S/N,Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
275,Japan,2017,Phishing,Healthcare,"$47,390,000","470,895",Nation-state,Social Engineering,Encryption,63
276,France,2017,Malware,Education,"$3,210,000","342,049",Nation-state,Unpatched Software,AI-based Detection,31
277,Brazil,2018,Phishing,Banking,"$98,750,000","316,891",Hacker Group,Social Engineering,Antivirus,55
278,India,2019,Man in the Middle,Education,"$27,450,000","633,466",Unknown,Zero-day,AI-based Detection,16
279,USA,2023,Malware,Communications,"$23,980,000","123,866",Nation-state,Zero-day,Firewall,43
280,France,2017,DDoS,Communications,"$79,930,000","305,905",Unknown,Unpatched Software,Encryption,44
281,Russia,2023,SQL Injection,Communications,"$3,660,000","702,942",Nation-state,Unpatched Software,AI-based Detection,34
282,Brazil,2016,Man in the Middle,Retail,"$72,780,000","11,339",Hacker Group,Social Engineering,AI-based Detection,34
283,UK,2017,SQL Injection,Banking,"$73,880,000","8,385",Nation-state,Social Engineering,AI-based Detection,69
284,Russia,2024,Ransomware,Banking,"$52,800,000","21,810",Insider,Zero-day,VPN,48
285,India,2018,Man in the Middle,Healthcare,"$94,600,000","7,347",Insider,Zero-day,AI-based Detection,7
286,Germany,2021,SQL Injection,Education,"$1,620,000","61,463",Hacker Group,Weak Passwords,Antivirus,58
287,Russia,2020,DDoS,Healthcare,"$820,000","683,572",Insider,Zero-day,Antivirus,69
288,Germany,2015,Malware,Healthcare,"$90,910,000","654,633",Nation-state,Weak Passwords,Antivirus,43
289,Japan,2021,DDoS,Banking,"$32,840,000","311,274",Hacker Group,Zero-day,Encryption,67
290,Russia,2017,Malware,Education,"$63,330,000","185,208",Unknown,Zero-day,Firewall,3
291,Russia,2022,Man in the Middle,Healthcare,"$27,820,000","182,378",Insider,Social Engineering,AI-based Detection,10
292,China,2016,Phishing,IT,"$7,730,000","800,480",Unknown,Zero-day,VPN,31
293,India,2019,DDoS,Banking,"$46,980,000","147,761",Unknown,Unpatched Software,AI-based Detection,68
294,Russia,2024,Ransomware,Banking,"$80,110,000","923,911",Insider,Unpatched Software,Firewall,60
295,Germany,2024,Ransomware,Education,"$11,810,000","418,893",Insider,Social Engineering,Firewall,31
296,Germany,2016,Ransomware,Education,"$15,090,000","914,593",Unknown,Weak Passwords,AI-based Detection,1
297,Japan,2015,SQL Injection,Banking,"$20,690,000","344,789",Unknown,Zero-day,AI-based Detection,69
298,India,2019,DDoS,Communications,"$36,860,000","116,906",Insider,Social Engineering,VPN,7
299,Australia,2019,Phishing,Education,"$10,870,000","812,343",Insider,Social Engineering,Antivirus,16
300,China,2017,Malware,IT,"$18,170,000","346,390",Hacker Group,Weak Passwords,Firewall,36
301,Brazil,2018,Phishing,IT,"$13,890,000","30,925",Insider,Zero-day,Encryption,43
302,UK,2017,DDoS,Government,"$15,630,000","663,812",Nation-state,Zero-day,Antivirus,57
303,Brazil,2020,Man in the Middle,Government,"$32,720,000","220,978",Nation-state,Zero-day,VPN,47
304,UK,2021,DDoS,Banking,"$97,030,000","100,486",Nation-state,Unpatched Software,Firewall,31
305,Russia,2023,SQL Injection,Education,"$75,630,000","195,733",Nation-state,Weak Passwords,Antivirus,70
306,Japan,2023,Man in the Middle,Healthcare,"$64,210,000","707,978",Nation-state,Weak Passwords,VPN,41
307,Brazil,2018,Phishing,Healthcare,"$99,140,000","456,432",Insider,Weak Passwords,Antivirus,66
308,Brazil,2016,Man in the Middle,IT,"$75,510,000","37,230",Unknown,Social Engineering,AI-based Detection,52
309,UK,2015,DDoS,Government,"$11,680,000","890,414",Nation-state,Unpatched Software,AI-based Detection,28
310,France,2021,Malware,IT,"$33,840,000","440,358",Nation-state,Social Engineering,Antivirus,5
311,India,2022,Malware,Healthcare,"$38,890,000","400,752",Insider,Unpatched Software,Antivirus,36
312,France,2018,Phishing,Banking,"$89,770,000","134,364",Nation-state,Zero-day,Antivirus,63
313,Germany,2017,DDoS,Communications,"$15,010,000","406,483",Insider,Weak Passwords,Antivirus,62
314,Brazil,2018,SQL Injection,IT,"$98,380,000","661,583",Insider,Social Engineering,Encryption,30
315,Russia,2015,SQL Injection,Education,"$23,490,000","642,834",Unknown,Weak Passwords,Antivirus,34
316,Brazil,2017,Ransomware,IT,"$9,430,000","493,087",Hacker Group,Unpatched Software,Encryption,44
317,Brazil,2021,Man in the Middle,IT,"$97,370,000","966,570",Nation-state,Weak Passwords,Antivirus,32
318,Russia,2022,Phishing,Communications,"$73,260,000","687,383",Nation-state,Weak Passwords,VPN,8
319,Germany,2020,Phishing,Retail,"$78,840,000","733,304",Unknown,Weak Passwords,VPN,19
320,India,2023,Ransomware,Communications,"$3,510,000","661,681",Hacker Group,Weak Passwords,AI-based Detection,14
321,France,2020,SQL Injection,IT,"$25,320,000","644,538",Unknown,Social Engineering,Antivirus,57
322,Germany,2015,Phishing,Banking,"$58,780,000","861,637",Unknown,Social Engineering,VPN,15
323,Brazil,2016,SQL Injection,Communications,"$73,760,000","393,189",Unknown,Zero-day,Antivirus,37
324,France,2022,SQL Injection,Healthcare,"$27,060,000","999,545",Hacker Group,Social Engineering,Encryption,47
325,UK,2021,SQL Injection,IT,"$77,820,000","935,572",Hacker Group,Social Engineering,Encryption,61
326,France,2016,Ransomware,IT,"$55,990,000","724,608",Hacker Group,Social Engineering,Antivirus,21
327,Brazil,2024,DDoS,Banking,"$55,730,000","750,979",Unknown,Social Engineering,AI-based Detection,30
328,India,2017,Malware,Communications,"$7,440,000","552,358",Nation-state,Weak Passwords,AI-based Detection,42
329,Australia,2019,Phishing,Banking,"$37,070,000","902,654",Insider,Social Engineering,Antivirus,9
330,UK,2022,Ransomware,Healthcare,"$75,670,000","413,293",Hacker Group,Zero-day,Antivirus,27
331,India,2024,Malware,Retail,"$56,190,000","114,357",Insider,Zero-day,AI-based Detection,58
332,USA,2018,Malware,Government,"$70,530,000","363,432",Hacker Group,Zero-day,AI-based Detection,40
333,Japan,2016,SQL Injection,Communications,"$63,770,000","304,618",Unknown,Unpatched Software,Antivirus,54
334,India,2022,SQL Injection,IT,"$32,730,000","153,154",Hacker Group,Zero-day,VPN,37
335,China,2022,Malware,Banking,"$21,870,000","741,153",Insider,Social Engineering,Encryption,66
336,Japan,2024,Man in the Middle,Healthcare,"$72,080,000","261,230",Insider,Social Engineering,VPN,19
337,UK,2023,SQL Injection,Communications,"$53,820,000","688,014",Unknown,Zero-day,Encryption,18
338,Australia,2018,DDoS,Education,"$3,300,000","45,027",Unknown,Social Engineering,Antivirus,68
339,Australia,2021,Malware,Banking,"$13,990,000","689,681",Nation-state,Weak Passwords,AI-based Detection,62
340,Germany,2024,Malware,Government,"$93,490,000","702,688",Hacker Group,Unpatched Software,Antivirus,39
341,China,2016,Man in the Middle,Banking,"$97,280,000","86,038",Insider,Weak Passwords,Encryption,19
342,Japan,2015,Malware,Education,"$17,190,000","899,381",Insider,Unpatched Software,Firewall,66
343,India,2023,Malware,IT,"$54,210,000","157,667",Insider,Weak Passwords,VPN,34
344,UK,2021,Malware,Government,"$64,280,000","643,714",Nation-state,Weak Passwords,VPN,25
345,USA,2023,Ransomware,Education,"$71,310,000","3,607",Insider,Zero-day,AI-based Detection,7
346,UK,2017,Phishing,Banking,"$52,310,000","259,706",Hacker Group,Social Engineering,Antivirus,2
347,India,2021,Man in the Middle,Retail,"$40,940,000","698,921",Insider,Weak Passwords,Firewall,72
348,Brazil,2024,Ransomware,Government,"$32,210,000","482,574",Nation-state,Unpatched Software,Firewall,22
349,France,2017,DDoS,IT,"$20,440,000","618,269",Nation-state,Weak Passwords,VPN,48
350,Russia,2016,Ransomware,Government,"$59,660,000","854,961",Unknown,Unpatched Software,AI-based Detection,7
351,Brazil,2019,SQL Injection,Education,"$56,330,000","595,157",Unknown,Zero-day,Encryption,41
352,France,2016,SQL Injection,Government,"$2,240,000","813,706",Hacker Group,Weak Passwords,VPN,54
353,Brazil,2018,DDoS,Communications,"$82,050,000","322,527",Nation-state,Weak Passwords,Firewall,46
354,China,2024,DDoS,Healthcare,"$11,920,000","557,016",Unknown,Zero-day,Firewall,34
355,UK,2017,DDoS,Healthcare,"$54,830,000","966,668",Hacker Group,Weak Passwords,AI-based Detection,15
356,France,2020,SQL Injection,Retail,"$36,170,000","813,165",Nation-state,Unpatched Software,Antivirus,44
357,France,2018,SQL Injection,Government,"$80,060,000","400,807",Unknown,Weak Passwords,Firewall,67
358,Brazil,2023,Man in the Middle,Retail,"$74,850,000","549,300",Hacker Group,Weak Passwords,Antivirus,26
359,Brazil,2021,Ransomware,Government,"$74,010,000","956,893",Unknown,Social Engineering,Antivirus,49
360,India,2015,SQL Injection,Government,"$46,200,000","245,370",Insider,Social Engineering,AI-based Detection,57
361,Brazil,2017,Malware,IT,"$9,590,000","912,731",Nation-state,Zero-day,Firewall,4
362,USA,2017,Malware,Communications,"$81,190,000","362,085",Insider,Weak Passwords,VPN,5
363,Germany,2022,SQL Injection,Communications,"$42,800,000","862,664",Hacker Group,Zero-day,Firewall,44
364,China,2015,Ransomware,Communications,"$32,650,000","313,384",Insider,Social Engineering,Antivirus,51
365,Russia,2018,Malware,Banking,"$17,990,000","593,009",Unknown,Social Engineering,Firewall,27
366,Germany,2023,SQL Injection,Banking,"$30,680,000","933,754",Insider,Social Engineering,Firewall,36
367,Japan,2015,DDoS,Government,"$82,120,000","55,055",Hacker Group,Unpatched Software,VPN,44
368,France,2020,SQL Injection,Education,"$94,630,000","481,180",Hacker Group,Weak Passwords,AI-based Detection,10
369,Russia,2020,Man in the Middle,Banking,"$54,030,000","110,260",Unknown,Weak Passwords,VPN,66
370,USA,2020,DDoS,Government,"$10,540,000","741,592",Insider,Social Engineering,VPN,69
371,Russia,2020,Phishing,Education,"$34,410,000","928,026",Unknown,Social Engineering,VPN,5
372,Germany,2018,SQL Injection,Education,"$84,270,000","399,014",Nation-state,Zero-day,Firewall,52
373,China,2018,Ransomware,Retail,"$35,080,000","42,831",Hacker Group,Social Engineering,Antivirus,42
374,UK,2018,Man in the Middle,Healthcare,"$45,110,000","545,613",Insider,Unpatched Software,VPN,25
375,Australia,2023,Man in the Middle,Retail,"$92,570,000","813,789",Nation-state,Unpatched Software,Antivirus,27
376,UK,2015,Ransomware,Banking,"$13,490,000","345,825",Hacker Group,Zero-day,AI-based Detection,6
377,UK,2016,Phishing,Education,"$8,420,000","29,671",Insider,Unpatched Software,Encryption,61
378,Australia,2020,Phishing,Government,"$92,500,000","34,011",Insider,Unpatched Software,Firewall,9
379,USA,2018,SQL Injection,Banking,"$63,800,000","341,383",Nation-state,Weak Passwords,Antivirus,9
380,Japan,2020,Ransomware,Banking,"$40,860,000","565,080",Unknown,Zero-day,Encryption,6
381,Germany,2019,Malware,Banking,"$79,240,000","862,136",Hacker Group,Zero-day,VPN,44
382,Japan,2022,Man in the Middle,Retail,"$37,150,000","241,151",Hacker Group,Social Engineering,Antivirus,56
383,India,2024,Man in the Middle,Government,"$62,060,000","321,158",Insider,Zero-day,VPN,37
384,France,2023,Phishing,Education,"$31,030,000","472,386",Nation-state,Zero-day,Encryption,24
385,UK,2015,Man in the Middle,Healthcare,"$82,540,000","34,240",Insider,Weak Passwords,Encryption,45
386,USA,2019,Malware,Government,"$34,400,000","98,018",Insider,Zero-day,VPN,55
387,Japan,2024,Phishing,Education,"$72,200,000","555,808",Unknown,Weak Passwords,AI-based Detection,4
388,UK,2021,SQL Injection,Healthcare,"$52,230,000","449,333",Hacker Group,Unpatched Software,Encryption,39
389,UK,2024,Man in the Middle,Retail,"$7,160,000","368,618",Nation-state,Social Engineering,Firewall,22
390,France,2022,Man in the Middle,IT,"$78,230,000","310,175",Hacker Group,Unpatched Software,AI-based Detection,53
391,UK,2020,Phishing,Retail,"$25,100,000","986,980",Nation-state,Zero-day,VPN,71
392,UK,2024,DDoS,Retail,"$88,540,000","518,181",Insider,Zero-day,Antivirus,24
393,India,2015,Phishing,Retail,"$49,510,000","72,782",Unknown,Zero-day,Encryption,63
394,Russia,2018,DDoS,Communications,"$4,080,000","502,842",Unknown,Zero-day,VPN,15
395,UK,2024,Phishing,Retail,"$89,310,000","376,586",Unknown,Weak Passwords,AI-based Detection,51
396,Germany,2023,Phishing,Government,"$88,550,000","698,597",Unknown,Social Engineering,Antivirus,66
397,Russia,2015,SQL Injection,Education,"$5,260,000","559,195",Insider,Weak Passwords,VPN,52
398,India,2024,Ransomware,Retail,"$17,570,000","236,253",Unknown,Social Engineering,Firewall,38
399,Brazil,2016,DDoS,Healthcare,"$8,010,000","534,847",Nation-state,Zero-day,Firewall,3
400,Australia,2016,Malware,Retail,"$39,860,000","262,611",Unknown,Social Engineering,Antivirus,33
401,Brazil,2021,SQL Injection,Communications,"$11,610,000","848,702",Unknown,Weak Passwords,Antivirus,48
402,Germany,2017,Man in the Middle,Retail,"$73,980,000","609,952",Hacker Group,Unpatched Software,VPN,7
403,Germany,2022,Man in the Middle,IT,"$65,860,000","978,868",Insider,Weak Passwords,AI-based Detection,39
404,Australia,2021,Ransomware,Retail,"$41,260,000","659,734",Insider,Unpatched Software,Antivirus,54
405,Japan,2022,DDoS,Retail,"$64,380,000","88,354",Nation-state,Social Engineering,AI-based Detection,52
406,Brazil,2022,Phishing,Banking,"$75,010,000","771,434",Hacker Group,Social Engineering,AI-based Detection,38
407,Australia,2016,SQL Injection,Banking,"$1,730,000","91,560",Hacker Group,Weak Passwords,AI-based Detection,35
408,UK,2021,Phishing,Healthcare,"$1,350,000","375,292",Unknown,Unpatched Software,Firewall,48
409,Japan,2015,SQL Injection,Retail,"$70,880,000","43,366",Unknown,Weak Passwords,AI-based Detection,43
410,India,2019,Ransomware,Communications,"$32,080,000","429,224",Unknown,Social Engineering,AI-based Detection,56
411,Brazil,2017,Phishing,Healthcare,"$68,990,000","526,227",Hacker Group,Weak Passwords,VPN,62
412,Japan,2024,Man in the Middle,Retail,"$9,770,000","621,770",Insider,Unpatched Software,AI-based Detection,70
413,India,2019,DDoS,Communications,"$14,530,000","857,688",Insider,Zero-day,Antivirus,55
414,Brazil,2024,SQL Injection,Banking,"$33,060,000","644,841",Insider,Weak Passwords,Antivirus,64
415,Russia,2024,Man in the Middle,IT,"$67,610,000","242,847",Unknown,Unpatched Software,VPN,37
416,China,2022,Man in the Middle,IT,"$85,300,000","155,225",Unknown,Weak Passwords,Antivirus,13
417,Japan,2017,Man in the Middle,Banking,"$79,680,000","712,646",Nation-state,Unpatched Software,AI-based Detection,50
418,UK,2022,Phishing,Government,"$61,870,000","298,941",Unknown,Zero-day,Antivirus,13
419,Russia,2018,Man in the Middle,Communications,"$4,920,000","783,480",Insider,Zero-day,AI-based Detection,55
420,Germany,2019,Phishing,Healthcare,"$99,970,000","950,451",Hacker Group,Weak Passwords,AI-based Detection,29
421,China,2018,Malware,Education,"$95,420,000","917,848",Insider,Social Engineering,VPN,30
422,Germany,2016,SQL Injection,Education,"$42,980,000","194,633",Nation-state,Social Engineering,Antivirus,37
423,Australia,2016,Malware,Communications,"$68,420,000","778,844",Unknown,Zero-day,Encryption,65
424,France,2018,SQL Injection,Government,"$36,140,000","668,774",Unknown,Social Engineering,Firewall,61
425,France,2023,SQL Injection,Healthcare,"$69,760,000","824,351",Unknown,Zero-day,Firewall,17
426,UK,2020,Phishing,Healthcare,"$3,020,000","510,974",Unknown,Weak Passwords,Encryption,16
427,Australia,2021,Man in the Middle,Healthcare,"$86,290,000","404,595",Unknown,Social Engineering,AI-based Detection,3
428,Germany,2022,SQL Injection,IT,"$6,310,000","742,273",Hacker Group,Zero-day,AI-based Detection,67
429,China,2016,Phishing,IT,"$27,460,000","973,388",Nation-state,Zero-day,AI-based Detection,63
430,China,2024,DDoS,Government,"$69,280,000","890,675",Hacker Group,Unpatched Software,Firewall,5
431,Germany,2022,SQL Injection,Education,"$68,960,000","710,896",Nation-state,Zero-day,Firewall,18
432,India,2023,SQL Injection,Retail,"$2,850,000","30,883",Nation-state,Weak Passwords,AI-based Detection,51
433,UK,2020,SQL Injection,Government,"$53,760,000","153,355",Unknown,Zero-day,Encryption,57
434,Japan,2020,DDoS,Healthcare,"$25,830,000","96,706",Insider,Unpatched Software,Firewall,42
435,Australia,2016,SQL Injection,IT,"$43,760,000","959,797",Nation-state,Social Engineering,Antivirus,32
436,China,2024,Phishing,Communications,"$9,450,000","501,864",Hacker Group,Unpatched Software,Encryption,12
437,Japan,2024,Man in the Middle,IT,"$63,570,000","358,626",Unknown,Weak Passwords,VPN,26
438,Japan,2017,Man in the Middle,Healthcare,"$11,300,000","64,472",Insider,Social Engineering,Firewall,43
439,India,2023,DDoS,Education,"$82,110,000","23,683",Hacker Group,Weak Passwords,Encryption,69
440,USA,2017,Man in the Middle,IT,"$5,210,000","22,635",Unknown,Unpatched Software,AI-based Detection,8
441,UK,2017,SQL Injection,Government,"$98,750,000","894,933",Insider,Weak Passwords,Antivirus,59
442,UK,2023,Malware,Banking,"$55,340,000","259,176",Unknown,Unpatched Software,VPN,3
443,China,2022,Man in the Middle,Banking,"$12,360,000","987,115",Unknown,Social Engineering,Encryption,55
444,France,2022,DDoS,Healthcare,"$6,480,000","727,601",Insider,Social Engineering,Encryption,50
445,UK,2021,Phishing,Retail,"$56,530,000","542,850",Nation-state,Zero-day,Antivirus,41
446,India,2023,Ransomware,Education,"$41,150,000","352,194",Nation-state,Unpatched Software,Firewall,10
447,France,2019,Malware,Healthcare,"$39,830,000","571,521",Nation-state,Weak Passwords,Antivirus,8
448,Brazil,2023,SQL Injection,Healthcare,"$47,590,000","933,271",Insider,Unpatched Software,Antivirus,30
449,Brazil,2022,Phishing,Banking,"$98,060,000","884,502",Insider,Unpatched Software,AI-based Detection,55
450,China,2015,Ransomware,IT,"$57,270,000","762,001",Nation-state,Social Engineering,VPN,67
451,France,2016,DDoS,Government,"$82,490,000","351,330",Nation-state,Weak Passwords,VPN,57
452,Australia,2023,Malware,Healthcare,"$37,730,000","158,107",Unknown,Unpatched Software,AI-based Detection,43
453,USA,2016,SQL Injection,Government,"$77,450,000","632,319",Unknown,Weak Passwords,AI-based Detection,47
454,India,2017,DDoS,Government,"$75,520,000","352,250",Insider,Zero-day,VPN,39
455,France,2018,Ransomware,Communications,"$11,280,000","504,165",Hacker Group,Zero-day,AI-based Detection,55
